car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,manufacture,engine,Seats,num_owners
Jeep Compass 2.0 Longitude Option BSIV,1002999.9999999999,86226,0,0,2017,1956.0,5,1
Renault Duster RXZ Turbo CVT,1283000.0,13248,1,1,2021,1330.0,5,1
Toyota Camry 2.5 G,1639999.9999999998,60343,1,1,2016,2494.0,5,1
Honda Jazz VX CVT,777000.0,26696,1,1,2018,1199.0,5,1
Volkswagen Polo 1.2 MPI Highline,515000.00000000006,69414,1,0,2016,1199.0,5,1
Volkswagen Vento 1.2 TSI Highline AT,766000.0,49719,1,1,2017,1197.0,5,1
Volkswagen Vento 1.2 TSI Highline Plus AT,758000.0,43688,1,1,2017,1197.0,5,1
Honda WR-V VX Diesel,1160000.0,14470,0,0,2021,1498.0,5,1
Honda City i VTEC CVT SV,699000.0,21429,1,1,2015,1497.0,5,1
Renault Duster Petrol RXS CVT,753000.0,31750,1,1,2017,1498.0,5,1
Maruti Baleno 1.2 Alpha,643000.0,38203,1,0,2017,1197.0,5,1
Honda City i VTEC CVT SV,543000.0,110284,1,1,2014,1497.0,5,1
Mahindra XUV300 W6,861999.9999999999,10381,1,0,2020,1197.0,5,1
Jeep Compass 1.4 Limited Plus BSIV,1678000.0,32378,1,1,2019,1368.0,5,1
Honda City V MT,1002999.9999999999,38906,1,0,2020,1498.0,5,1
Hyundai Grand i10 AT Asta,563000.0,59313,1,1,2016,1197.0,5,2
Hyundai i20 1.4 Asta,667000.0,85672,0,0,2017,1396.0,5,1
Maruti Ciaz 1.4 Delta,673000.0,34971,1,0,2017,1373.0,5,2
Nissan Micra XL Optional,321000.0,35894,1,0,2015,1198.0,5,2
Maruti Ciaz Alpha Automatic BSIV,850000.0,56000,1,1,2019,1462.0,5,1
Maruti Swift Dzire VXI,434000.0,56568,1,0,2014,1197.0,5,1
Renault KWID RXT,311000.0,48872,1,0,2017,799.0,5,1
Renault KWID RXL BSIV,370000.0,17346,1,0,2019,799.0,5,1
Jeep Compass 2.0 Limited Plus BSIV,1588000.0,15414,0,0,2019,1956.0,5,1
Hyundai Grand i10 1.2 Kappa Magna BSIV,541000.0,21239,1,0,2018,1197.0,5,1
Maruti Alto K10 LXI,223000.0,62361,1,0,2014,998.0,5,1
Hyundai Verna 1.6 VTVT S Option,588000.0,79329,1,0,2015,1591.0,5,2
Hyundai Tucson GLS AT,2278000.0,11945,1,1,2021,1999.0,5,1
Maruti Swift Dzire VXI 1.2,612000.0,51324,1,0,2018,1197.0,5,1
Nissan Magnite XV Premium,744000.0,5717,1,0,2021,999.0,5,1
Honda City i VTEC CVT VX,839000.0,46417,1,1,2016,1497.0,5,1
Honda Amaze S i-Vtech,420000.0,100161,1,0,2015,1198.0,5,1
Hyundai Grand i10 Sportz,491000.0,35424,1,0,2016,1197.0,5,1
Hyundai EON Era Plus,293000.0,51085,1,0,2017,814.0,5,1
Maruti Alto 800 LXI,298000.0,30983,1,0,2016,796.0,5,1
Renault KWID RXL,260000.0,32681,1,0,2016,799.0,5,1
Hyundai EON Magna Plus,238000.0,57581,1,0,2014,814.0,5,2
Honda Jazz 1.2 V AT i VTEC,605000.0,39821,1,1,2016,1199.0,5,1
Maruti Alto 800 LXI,323000.0,21186,1,0,2018,796.0,5,1
Renault KWID RXL,326000.0,34972,1,0,2018,799.0,5,1
Honda Amaze S i-Vtech,421000.0,46623,1,0,2015,1198.0,5,2
Kia Seltos GTX Plus,1553000.0,18557,1,0,2019,1353.0,5,1
Jeep Compass 2.0 Limited,1243000.0,58463,0,0,2017,1956.0,5,1
MG Hector Plus Sharp DCT,1850000.0,5000,1,1,2020,1451.0,6,1
Tata Harrier XZ BSIV,1590000.0,66000,0,0,2019,1956.0,5,1
Renault Duster Petrol RXS CVT,890000.0,14000,1,1,2019,1498.0,5,1
BMW 5 Series 520d Luxury Line,4300000.0,61000,0,1,2019,1995.0,5,1
Hyundai i20 1.4 Magna Executive,600000.0,65392,0,0,2017,1396.0,5,1
Mercedes-Benz CLA 200 CGI Sport,2700000.0,37000,1,1,2018,1991.0,5,1
Maruti XL6 Zeta,1090000.0,9000,1,0,2020,1462.0,6,1
Hyundai Grand i10 1.2 Kappa Sportz Option AT,590000.0,32000,1,1,2017,1197.0,5,1
Mahindra XUV500 W8 2WD,650000.0,68000,0,0,2012,2179.0,7,1
Hyundai i20 Magna 1.2,675000.0,13000,1,0,2017,1197.0,5,1
Datsun RediGO AMT 1.0 T Option,370000.0,30000,1,1,2020,999.0,5,1
Honda Brio VX AT,525000.0,34300,1,1,2015,1198.0,5,1
Honda City i VTEC CVT SV,725000.0,45000,1,1,2015,1497.0,5,1
Toyota Corolla Altis GL MT,850000.0,37000,1,0,2014,1798.0,5,1
Jeep Compass 1.4 Sport,1400000.0,50000,1,0,2018,1368.0,5,1
Volvo XC60 D4 Summum,1500000.0,105241,0,1,2015,1985.0,5,1
Toyota Corolla Altis 1.8 G,1390000.0,54000,1,0,2019,1798.0,5,1
Hyundai Verna VTVT 1.6 SX,890000.0,19600,1,0,2019,1591.0,5,1
Audi A4 2.0 TDI Technology Edition,1689999.9999999998,48000,0,1,2015,1968.0,5,1
Audi Q3 2.0 TDI,1390000.0,69500,0,1,2012,1968.0,5,1
BMW 5 Series 530d,1500000.0,71000,0,1,2012,2993.0,5,2
Porsche Cayenne S Diesel,4500000.0,48894,0,1,2014,4134.0,5,1
Maruti A-Star Zxi,153000.0,46257,1,0,2008,998.0,5,3
Ford Ecosport 1.5 DV5 MT Titanium,509000.0,78264,0,0,2015,1498.0,5,2
Honda Jazz 1.2 S AT i VTEC,546000.0,42451,1,1,2016,1199.0,5,1
Volkswagen Vento Diesel Highline,273000.0,131861,0,0,2012,1598.0,5,2
Maruti Wagon R VXI BS IV,180000.0,128004,1,0,2012,998.0,5,2
Chevrolet Beat Diesel PS,110000.00000000001,150349,0,0,2012,936.0,5,1
Maruti Wagon R VXI BS IV,369000.0,29033,1,0,2017,998.0,5,1
BMW 3 Series 320d Luxury Line,1350000.0,99000,0,1,2015,1995.0,5,1
Renault KWID RXL,275000.0,47000,1,0,2018,799.0,5,1
Maruti Baleno 1.3 Sigma,550000.0,35000,0,0,2018,1248.0,5,1
Mercedes-Benz C-Class C 220 CDI BE COR,975000.0,58000,0,1,2013,2143.0,5,1
Honda City S,400000.0,48000,1,0,2012,1497.0,5,1
Honda Amaze VX AT i-Vtech,475000.0,45000,1,1,2014,1198.0,5,1
Hyundai EON D Lite,190000.0,60000,1,0,2012,814.0,5,2
Hyundai i20 Magna Optional 1.2,465000.00000000006,23000,1,0,2014,1197.0,5,1
Hyundai Grand i10 1.2 Kappa Era,459999.99999999994,45000,1,0,2019,1197.0,5,1
Hyundai i10 Magna 1.1L,325000.0,45000,1,0,2014,1086.0,5,1
Maruti Ertiga VDI,525000.0,58000,0,0,2013,1248.0,7,1
Hyundai i20 1.2 Spotz,625000.0,48000,1,0,2018,1197.0,5,1
BMW 2 Series 220i M Sport,4000000.0,18000,1,1,2021,1998.0,5,1
Skoda Kushaq 1.0 TSI Style 6 Airbags AT,1675000.0,16000,1,1,2022,999.0,5,1
Honda City i-VTEC VX,1000000.0,24000,1,0,2019,1497.0,5,1
MG Hector Plus Select Diesel MT 7 STR,1789999.9999999998,36000,0,0,2021,1956.0,7,1
Jeep Compass 1.4 Limited Plus,1390000.0,35000,1,1,2019,1368.0,5,2
Honda Amaze E Petrol BSIV,610000.0,64000,1,0,2019,1199.0,5,1
Maruti Vitara Brezza VDi,775000.0,72000,0,0,2017,1248.0,5,1
Hyundai Grand i10 Magna,459999.99999999994,29900,1,0,2015,1197.0,5,1
Mahindra XUV700 AX5 Diesel AT,2091000.0,20000,0,1,2022,2198.0,5,1
Tata Indigo VX BSIV,310000.0,160000,0,0,2013,1396.0,5,1
Tata Tiago XZ Plus,565000.0,16000,1,0,2020,1199.0,5,1
Honda WR-V i-VTEC VX,900000.0,17000,1,0,2019,1199.0,5,1
Lexus NX 300h,4200000.0,111000,1,1,2018,2499.0,5,1
Mercedes-Benz M-Class ML 250 CDI,2850000.0,38000,0,1,2015,2143.0,5,2
Honda Jazz 1.5 SV i DTEC,550000.0,32000,0,0,2015,1498.0,5,1
Volkswagen Polo 1.2 MPI Comfortline,450000.0,67000,1,0,2015,1198.0,5,1
Ford Ecosport 1.5 Petrol Titanium AT,675000.0,50000,1,1,2016,1496.0,5,1
Maruti Swift VDI BSIV,180000.0,110000,0,0,2010,1248.0,5,2
Hyundai Verna VTVT 1.6 AT EX,775000.0,51000,1,1,2017,1591.0,5,1
Hyundai Grand i10 1.2 CRDi Sportz,550000.0,83000,0,0,2017,1186.0,5,1
Audi Q3 35 TDI Quattro Premium,2400000.0,38000,0,1,2016,1968.0,5,1
Hyundai Creta 1.6 SX Automatic Diesel,1325000.0,58000,0,1,2018,1582.0,5,1
Hyundai Creta 1.6 SX,1100000.0,36000,1,0,2018,1591.0,5,1
Volkswagen Vento 1.0 TSI Highline AT,1050000.0,23500,1,1,2020,999.0,5,1
Hyundai i20 1.2 Magna Executive,650000.0,60000,1,0,2017,1197.0,5,1
Skoda Superb LK 1.8 TSI AT,2500000.0,18000,1,1,2018,1798.0,5,1
Honda Amaze V Petrol BSIV,600000.0,36500,1,0,2017,1199.0,5,1
Skoda Superb Sportline,3100000.0,25000,1,1,2021,1984.0,5,1
Kia Seltos HTX IVT,1575000.0,20500,1,1,2020,1497.0,5,1
Honda Amaze S i-Vtech,450000.0,30000,1,0,2015,1198.0,5,1
Hyundai i20 Magna 1.2,590000.0,59000,1,0,2017,1197.0,5,1
BMW X1 sDrive 20d xLine,1450000.0,80000,0,1,2014,1995.0,5,1
Hyundai Xcent 1.2 CRDi E Plus,380000.0,50000,0,0,2017,1186.0,5,2
Tata Harrier XZAS Plus Kaziranga Edition AT,2100000.0,32000,0,1,2021,1956.0,5,1
Hyundai i10 Era 1.1 iTech SE,261000.0,120000,1,0,2012,1086.0,5,2
Land Rover Discovery 2.0 R-Dynamic HSE,110000.00000000001,33000,1,1,2021,1997.0,7,1
Mini 3 DOOR Cooper S,4200000.0,6900,1,1,2019,1998.0,4,1
Tata Harrier XZA Plus Kaziranga Edition AT,2250000.0,4500,0,1,2022,1956.0,5,1
Volvo S90 D4 Inscription BSIV,4200000.0,51000,0,1,2018,1969.0,5,1
Kia Seltos GTX Plus AT D,1975000.0,12000,0,1,2022,1493.0,5,1
Maruti Vitara Brezza ZDi Plus,950000.0,37000,0,0,2018,1248.0,5,1
Hyundai Verna SX Opt Diesel,1451000.0,35000,0,0,2021,1493.0,5,1
Maruti Wagon R VXI Optional,300000.0,80000,1,0,2016,998.0,5,2
Hyundai Grand i10 Magna,459999.99999999994,60000,1,0,2016,1197.0,5,1
Honda Amaze VX CVT,915000.0,10000,1,1,2022,1199.0,5,1
Maruti Ignis Zeta AMT,550000.0,59385,1,1,2019,1197.0,5,1
Jaguar XF 3.0 Litre S Premium Luxury,1700000.0,51000,0,1,2012,2993.0,5,2
Mahindra XUV500 AT W6 1.99 mHawk,990000.0,74000,0,1,2017,1997.0,7,1
Tata Nexon 1.2 Revotron XMA,851000.0,29000,1,1,2020,1198.0,5,1
Jeep Compass Model S 4X4 Diesel AT,2750000.0,12200,0,1,2021,1956.0,5,1
Hyundai Grand i10 1.2 Kappa Sportz Option AT,550000.0,40000,1,1,2019,1197.0,5,3
Hyundai Verna CRDi 1.6 SX,951000.0,58000,0,0,2018,1582.0,5,1
